No,gene,CNS_assoc_HPOs,CNS_HP_Count,pvalue_CNS_more,pvalue_CNS_less,DownGeneDrugs,UpGeneDrugs
47,ABI3,,,,4.059E-05,,
48,ABI3BP,,,,1.9882E-11,,
49,ABL2,,,0.038371259,,,
50,ABLIM2,,,0.001327164,,,
51,ABLIM3,,,0.013369355,,,
52,ABRA,,,,2.27161E-08,,
53,ABT1,,,,5.051E-08,,
54,ABTB1,,,,1.72123E-05,,
55,ACAA1,,,,4.05288E-07,,
56,ACAA2,,,,0.000292838,,"flurbiprofen, sulfasalazine"
57,ACACA,,,0.019659034,,,
58,ACACB,,,,9.24033E-06,,
59,ACAD11,,,0.00213165,,,
60,ACADS,"HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",9,,1.54008E-11,,
61,ACADVL,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0100547",7,,5.78319E-08,,tretinoin
62,ACAP1,,,,7.3942E-16,,
63,ACAP3,,,0.019511781,,,
64,ACBD4,,,,2.31831E-05,,
65,ACBD6,,,4.70946E-08,,,
66,ACCS,,,,1.0358E-06,,
67,ACE2,,,,1.81902E-08,,idoxuridine
68,ACER3,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002500, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",16,0.01447664,,,
69,ACIN1,,,,7.30825E-05,,
70,ACKR2,,,,0.000182034,,
71,ACKR4,,,,0.000129986,,
72,ACOT11,,,,0.000248354,,
73,ACOT13,,,,9.98503E-05,,
74,ACOT2,,,,7.15788E-10,,
75,ACOT7,,,0.001376287,,acebutolol,
76,ACOT8,,,,0.00053211,,
77,ACOT9,,,,0.000516698,,acetazolamide
78,ACOX1,"HP:0002011, HP:0002060, HP:0002500, HP:0012443, HP:0012639, HP:0012759, HP:0100547",7,,0.000276823,,
79,ACOX2,HP:0012759,1,,4.797E-08,,"cilostazol, corynanthine"
80,ACOXL,,,,1.30618E-10,,
81,ACP1,,,,6.38057E-10,,
82,ACP2,,,,0.000246084,,isoprenaline
83,ACP5,"HP:0002011, HP:0002060, HP:0002118, HP:0002500, HP:0002518, HP:0012443, HP:0012503, HP:0012639, HP:0012759, HP:0030047, HP:0100547",11,,3.35206E-05,,"phenylbutazone, zidovudine"
84,ACPL2,,,0.012194763,,,
85,ACPP,,,,4.53136E-06,,"corticosterone, cyproterone, idoxuridine, tianeptine"
86,ACPT,,,,0.000743044,,
87,ACR,,,,1.83816E-05,,
88,ACSF2,,,,0.000141568,,
89,ACSF3,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,,0.0003181,,
90,ACSL3,,,1.1795E-08,,"clorgiline, ethinyl-estradiol, etretinate",
91,ACSL5,,,,0.000181536,,"clorgiline, daunorubicin"
92,ACSL6,,,0.000140978,,,
93,ACSM1,,,,1.04076E-14,,
94,ACSM2A,,,,1.44948E-09,,
95,ACSM2B,,,,9.53968E-11,,
96,ACSM3,,,,1.6638E-26,,
97,ACSM4,,,,0.000170324,,
98,ACSS2,,,,8.39762E-05,,
99,ACTA1,"HP:0012639, HP:0012759",2,,1.80522E-11,,"corynanthine, retinol"
100,ACTA2,"HP:0002011, HP:0002060, HP:0002118, HP:0002143, HP:0002500, HP:0002518, HP:0009145, HP:0010303, HP:0010651, HP:0012443, HP:0012639, HP:0012703, HP:0012759, HP:0100547, HP:0100659",15,,6.08854E-09,,chlorambucil
101,ACTB,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002118, HP:0002120, HP:0002143, HP:0002414, HP:0002500, HP:0002538, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0010301, HP:0012157, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100308, HP:0100547, HP:0100659, HP:0410043",25,,0.000826135,,"ketoprofen, leflunomide"
102,ACTC1,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,4.83285E-13,,"corynanthine, daunorubicin"
103,ACTG1,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002118, HP:0002120, HP:0002500, HP:0002538, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0012157, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100308, HP:0100547, HP:0100659",21,,0.000146447,,
104,ACTG2,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0100547",7,,3.48495E-09,,"albendazole, ketoprofen, ribavirin"
105,ACTL10,,,,9.58866E-07,,
106,ACTL6A,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002500, HP:0002538, HP:0002977, HP:0006913, HP:0007364, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",17,,0.000403548,,
107,ACTL6B,"HP:0001272, HP:0001273, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002120, HP:0002283, HP:0002500, HP:0002518, HP:0002538, HP:0002977, HP:0006913, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",25,6.83882E-06,,,
108,ACTL7B,,,,0.000206759,,
109,ACTL8,,,,1.54174E-07,,
110,ACTN4,,,,0.000163434,,mephenytoin
111,ACTR1B,,,,8.10753E-05,,
112,ACTR3B,,,0.01296641,,,
113,ACTR5,,,0.036453342,,,
114,ACTRT3,,,,2.02728E-07,,
115,ACVR1,"HP:0002011, HP:0002060, HP:0012443, HP:0012639, HP:0012759, HP:0100547",6,0.030683615,,,
116,ACVR1B,,,0.000797108,,,
117,ACVR2A,,,1.15506E-05,,,
118,ACVR2B,,,0.000965479,,,
119,ACVRL1,"HP:0002011, HP:0002143, HP:0002390, HP:0012443, HP:0012639, HP:0012703, HP:0100659",7,,2.71062E-05,,
120,ADA,,,,9.15906E-06,,"acyclovir, bupivacaine, diflunisal, ephedrine, oxaprozin"
121,ADAD1,,,,2.05907E-06,,
122,ADAM18,,,,1.32546E-07,,
123,ADAM2,,,,4.34012E-09,,
124,ADAM20,,,0.000474304,,,
125,ADAM22,HP:0012759,1,0.000243081,,,
126,ADAM23,,,3.47072E-05,,,
127,ADAM29,,,0.027259384,,,
128,ADAM8,,,,9.99251E-09,,
129,ADAMDEC1,,,,9.7151E-10,,imipramine
130,ADAMTS1,,,,8.15548E-07,,"diazepam, isoreserpine, menadione, tolmetin"
131,ADAMTS10,HP:0012759,1,0.000608722,,,
132,ADAMTS14,,,,6.62735E-05,,
133,ADAMTS15,,,,4.37192E-06,,
134,ADAMTS4,,,,0.000252961,,
135,ADAMTS5,,,,0.000533726,,"hydrocortisone, isoreserpine"
136,ADAMTSL4,,,,6.75895E-16,,
137,ADAMTSL4-AS1,,,,0.00057506,,
138,ADAMTSL5,,,,8.90272E-12,,
139,ADAR,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002180, HP:0002339, HP:0002500, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0007374, HP:0009145, HP:0010994, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0040140, HP:0100547, HP:0100659, HP:0100705, HP:0100707",25,,0.000133666,,
140,ADARB2,,,0.000333638,,,
141,ADAT3,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002500, HP:0002977, HP:0006919, HP:0007364, HP:0007367, HP:0007370, HP:0010651, HP:0012443, HP:0012444, HP:0012503, HP:0012639, HP:0012759, HP:0100547, HP:0100700",18,,8.96495E-07,,
142,ADC,,,0.001483071,,,
143,ADCK4,,,,2.79704E-06,,
144,ADCK5,,,,6.3464E-06,,
145,ADCY1,,,2.04895E-10,,"corynanthine, oxaprozin, tolbutamide",
146,ADCY2,,,0.028771573,,,
147,ADCY3,HP:0012759,1,0.000141056,,,
148,ADCY4,,,,0.000211915,,
149,ADCY5,HP:0012759,1,0.008214278,,,
150,ADCY8,,,0.000112021,,,
151,ADCYAP1,,,0.011167953,,,
152,ADCYAP1R1,,,2.42422E-06,,,
153,ADD2,,,1.25057E-08,,,
154,ADD3,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,,0.000386854,,"acebutolol, chlormadinone, clomipramine, cortisol, depomedrol, diflunisal, genistein, haloperidol, isotretinoin, ketorolac, levisoprenaline, trimethadione"
155,ADH1A,,,,3.80858E-09,,
156,ADH1B,,,,9.51232E-15,,"androstenedione, chlordiazepoxide, cortisol, cyclopamine, indometacin, mometasone, nifedipine, thiotepa, vigabatrin, zonisamide"
157,ADH4,,,,9.58384E-07,,
158,ADH6,,,,1.11798E-10,,
159,ADI1,,,,6.41228E-10,,"decitabine, nicotine"
160,ADIPOR1,,,,6.78985E-08,,
161,ADIPOR2,,,,0.000473529,,
162,ADIRF,,,,2.8685E-07,,"androstenedione, chlordiazepoxide, cortisone, cycloheximide, depomedrol, dimethadione, esmolol, ethionamide, flutamide, levodopa, methotrexate, metrifonate, mometasone, parbendazole, quinidine, reserpine, sparfloxacin, warfarin"
163,ADK,"HP:0002011, HP:0002059, HP:0002060, HP:0002977, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",11,0.033973734,,,
164,ADM,,,,0.000223207,,"carbamazepine, dexketoprofen, estradiol-benzoate, lithocholic-acid"
165,ADM2,,,,2.18479E-06,,
166,ADORA1,,,0.00010261,,,
167,ADPRH,,,,2.35472E-05,,
168,ADRA2B,HP:0012759,1,,4.69143E-08,,
169,ADRB2,,,,0.000762905,,phensuximide
170,ADRB3,,,,2.41415E-07,,
171,ADRBK1,,,,1.18478E-05,,
172,ADRBK2,,,0.048093587,,,
173,ADRM1,,,,9.32364E-07,,
174,ADSL,"HP:0001272, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002500, HP:0002977, HP:0006919, HP:0007364, HP:0007367, HP:0007369, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",18,,1.83149E-05,,
175,ADSSL1,,,,5.23583E-07,,
176,ADTRP,,,,0.000431466,,
177,AEBP1,HP:0012759,1,,3.69324E-05,,"diazepam, ethotoin, perphenazine"
178,AEN,,,,1.18096E-07,,
179,AES,,,,4.25122E-05,,
180,AFAP1,,,1.97606E-07,,,
181,AFF1,,,,0.000448975,,
182,AFF2,"HP:0002011, HP:0002060, HP:0002977, HP:0006919, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",9,1.76337E-06,,,
183,AFF3,"HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002060, HP:0002118, HP:0002334, HP:0002363, HP:0002365, HP:0002977, HP:0006817, HP:0007360, HP:0007362, HP:0007364, HP:0007367, HP:0010950, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",23,2.32314E-07,,,
184,AFG3L2,"HP:0001272, HP:0001317, HP:0001321, HP:0002011, HP:0002977, HP:0007360, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759",11,,5.07999E-06,,
185,AFM,,,,4.14342E-12,,
186,AFP,,,,1.36526E-16,,ketoprofen
187,AGAP1,,,0.008977579,,,
188,AGAP2,,,0.000308793,,,
189,AGAP2-AS1,,,,3.42001E-05,,
190,AGAP3,,,0.000828759,,,
191,AGBL2,,,,8.34704E-06,,
192,AGBL3,,,0.042785415,,,
193,AGBL4,,,0.000726758,,,
194,AGER,,,,4.43698E-07,,
195,AGFG2,,,,1.70639E-09,,
196,AGMAT,,,,0.0002008,,
197,AGO2,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002500, HP:0002538, HP:0002977, HP:0006913, HP:0006919, HP:0007364, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",18,,3.71763E-05,,
198,AGO4,,,0.006574631,,,
199,AGPAT2,HP:0012759,1,,1.29628E-06,,
200,AGPAT4,,,6.63098E-06,,,
201,AGPAT9,,,,4.04362E-13,,
202,AGR2,,,,1.91426E-15,,"acyclovir, bupivacaine, chlorpromazine, diflunisal, ethionamide, ketorolac, phenylbutazone, reserpine, tolbutamide, valproic-acid, warfarin"
203,AGR3,,,,3.03591E-14,,
204,AGRP,,,,5.46374E-08,,
205,AGT,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0100547",7,,0.000116774,,"alpha-estradiol, beclometasone, daunorubicin, flutamide, lynestrenol, misoprostol"
206,AGTPBP1,"HP:0001272, HP:0001273, HP:0001317, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0006989, HP:0007364, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",15,6.51478E-07,,,
207,AGTR2,"HP:0002011, HP:0012639, HP:0012703, HP:0012759",4,,9.59638E-30,,
208,AGTRAP,,,,7.73071E-05,,
209,AGXT,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,2.95264E-09,,
210,AGXT2,,,,3.8145E-07,,
211,AHCY,"HP:0001273, HP:0001317, HP:0001321, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002363, HP:0002500, HP:0002977, HP:0007360, HP:0007361, HP:0007364, HP:0007370, HP:0011282, HP:0011283, HP:0012110, HP:0012443, HP:0012639, HP:0012703, HP:0012759, HP:0100547",22,,8.11956E-11,,
212,AHCYL2,,,0.000332857,,,
213,AHNAK,,,,2.39484E-08,,"diethylstilbestrol, tretinoin, triamcinolone, yohimbine"
214,AHR,HP:0012759,1,,4.34713E-06,,"benzo(a)pyrene, ritodrine, thiotepa"
215,AHSA1,,,,1.11363E-05,,
216,AHSG,"HP:0001273, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",10,,3.27195E-14,,depomedrol
217,AHSP,,,,8.29205E-17,,estradiol
218,AICDA,,,,2.4647E-09,,
219,AIF1,,,,7.29496E-06,,
220,AIFM1,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002062, HP:0002079, HP:0002363, HP:0002500, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0010994, HP:0012443, HP:0012444, HP:0012639, HP:0012703, HP:0012759, HP:0100547, HP:0100705, HP:0100707",22,,3.86778E-09,,
221,AIG1,,,1.0977E-06,,,
222,AIM1,,,,2.21122E-11,,
223,AIM1L,,,,3.05797E-05,,
224,AIM2,,,0.00050133,,"chlorpromazine, ritodrine, tolfenamic-acid",
225,AIMP1,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002283, HP:0002500, HP:0002538, HP:0002539, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0007371, HP:0007375, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0012762, HP:0100547",22,,0.000118497,,
226,AIP,"HP:0002011, HP:0012443, HP:0012503, HP:0012639",4,,1.02004E-06,,
227,AIRE,"HP:0002011, HP:0002060, HP:0012443, HP:0012639, HP:0100547, HP:0100659",6,,0.000631068,,
228,AJAP1,,,0.000295176,,,
229,AJUBA,,,,5.13859E-06,,
230,AK2,,,,1.00208E-07,,
231,AK5,,,0.011686477,,,
232,AK7,,,,1.04852E-06,,
233,AK9,"HP:0012639, HP:0012759",2,0.001153001,,,
234,AKAP11,,,5.47977E-05,,,
235,AKAP17A,,,,1.74895E-08,,
236,AKAP4,,,,0.000154923,,
237,AKAP6,,,1.92033E-09,,,
238,AKAP7,,,0.017963692,,,
239,AKR1B10,,,,9.12106E-05,,"carbamazepine, dexketoprofen, ethinyl-estradiol, ethionamide, ethotoin, floxuridine, fumonisin-b1, isoxsuprine, levisoprenaline, nifedipine, pyrimethamine, teniposide, tolfenamic-acid"
240,AKR1B15,,,,0.000876874,,
241,AKR1C1,,,0.002118904,,"busulfan, CD-437, cyproterone, doxorubicin, levodopa, misoprostol, sulfasalazine",
242,AKR1C4,,,,0.000734142,,
243,AKR1CL1,,,,0.000329526,,
244,AKR1D1,,,,0.000608458,,
245,AKR7A2,,,,2.99469E-07,,"depomedrol, dexamethasone"
246,AKR7A3,,,,5.92777E-05,,
247,AKT1,"HP:0001317, HP:0002011, HP:0002118, HP:0002143, HP:0002176, HP:0002363, HP:0010662, HP:0010663, HP:0011282, HP:0011283, HP:0011751, HP:0012443, HP:0012503, HP:0012639, HP:0012759, HP:0100010, HP:0100547, HP:0100659",18,,2.007E-05,,"clomifene, misoprostol"
248,AKT1S1,,,,8.26395E-07,,
249,AKT2,,,,0.000102581,,
250,AKT3,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002500, HP:0002538, HP:0002539, HP:0002977, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012757, HP:0012759, HP:0032046, HP:0100547, HP:0100705",18,4.25614E-13,,,
251,AKTIP,,,0.025076421,,,
252,ALAD,HP:0012759,1,,0.000372419,,
253,ALAS2,,,,9.51046E-11,,estradiol
254,ALB,HP:0012759,1,,4.42301E-08,,"depomedrol, metrifonate, verapamil"
255,ALDH16A1,,,,0.000529732,,
256,ALDH1A1,,,,1.45116E-24,,"BRD-A66861218, carbamazepine, cyclophosphamide, ifosfamide, isoxsuprine, mometasone, nifedipine, quercetin, ritodrine, solanine, sparfloxacin, tolbutamide, warfarin"
257,ALDH1A2,,,,3.76887E-15,,"BRD-A66861218, cyproterone, ephedrine, flubendazole, ketorolac, lynestrenol, mefenamic-acid, propylthiouracil, pseudoephedrine, solanine"
258,ALDH1B1,,,,2.48201E-05,,
259,ALDH1L2,,,0.000765403,,,
260,ALDH3A1,,,,0.000172329,,BRD-A66861218
261,ALDH3B1,,,,1.63382E-06,,
262,ALDH3B2,,,,1.98117E-09,,tolbutamide
263,ALDH4A1,"HP:0002011, HP:0006919, HP:0012639, HP:0012759",4,,2.8766E-05,,
264,ALDOA,HP:0012759,1,,4.77041E-05,,"heliotrine, procarbazine"
265,ALDOB,HP:0012759,1,,8.57334E-19,,"mometasone, ochratoxin-a, prostaglandin-e1"
266,ALG2,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002500, HP:0002977, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012703, HP:0012751, HP:0012759, HP:0030047, HP:0100547",16,,0.000143995,,
267,ALG3,"HP:0001272, HP:0001273, HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002118, HP:0002334, HP:0002363, HP:0002500, HP:0002977, HP:0006817, HP:0007360, HP:0007361, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0010950, HP:0011282, HP:0011283, HP:0012110, HP:0012157, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0012762, HP:0100547, HP:0410043",33,,0.000241375,,
268,ALG6,"HP:0001317, HP:0001321, HP:0002011, HP:0002977, HP:0007360, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759",10,0.030112854,,,
269,ALG9,"HP:0001272, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002283, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0009145, HP:0010651, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012503, HP:0012639, HP:0012703, HP:0012759, HP:0100547, HP:0100659, HP:0100700",23,0.003871699,,,
270,ALK,HP:0012639,1,0.005838195,,,
271,ALKBH2,,,,8.65812E-05,,
272,ALKBH5,,,,1.13344E-07,,
273,ALKBH6,,,,8.10188E-09,,
274,ALKBH7,,,,1.01543E-05,,
275,ALKBH8,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002500, HP:0002538, HP:0002539, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0007375, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",19,2.1147E-05,,,
276,ALLC,,,,0.000321287,,
277,ALOX15,,,,1.76618E-10,,
278,ALOX15B,,,,2.66624E-05,,
279,ALPK2,,,,5.3E-07,,
280,ALPP,,,,1.42858E-06,,
281,ALS2,"HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002062, HP:0002120, HP:0002492, HP:0002538, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012757, HP:0012759, HP:0100547",20,0.034372797,,,
282,ALS2CL,,,,3.86536E-06,,
283,ALS2CR12,,,0.026514095,,,
284,ALX1,"HP:0001273, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012759, HP:0100547",11,,1.87613E-05,,
285,ALYREF,,,,1.08265E-05,,
286,AMBP,,,,4.54899E-13,,
287,AMD1,,,,5.36098E-05,,
288,AMDHD1,,,,1.19676E-08,,
289,AMDHD2,,,,8.24927E-06,,"clomifene, dacarbazine, haloperidol, methyldopa, verapamil"
290,AMELX,,,,0.000151182,,
291,AMER2,,,2.14971E-07,,,
292,AMER3,,,0.001116293,,,
293,AMHR2,,,,1.3428E-10,,
294,AMICA1,,,,5.47044E-10,,
295,AMIGO1,,,0.042635315,,,
296,AMIGO2,,,,0.000473197,,"azacitidine, decitabine, ethionamide, floxuridine, metronidazole, oxaprozin, phenylbutazone, terbutaline, thalidomide, zidovudine"
297,AMIGO3,,,,0.000291552,,
298,AMMECR1L,,,,3.53844E-05,,
299,AMN,HP:0012759,1,,7.23635E-11,,
300,AMN1,,,0.000642288,,,
301,AMPD1,,,,6.68674E-06,,
302,AMPD2,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002118, HP:0002120, HP:0002500, HP:0002518, HP:0002538, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",20,,4.17618E-05,,
303,AMPD3,,,,0.000856165,,
304,AMPH,,,6.46544E-05,,,
305,AMT,"HP:0001273, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0006919, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012759, HP:0100547",12,,1.58961E-12,,
306,AMTN,,,,1.67987E-07,,
307,AMY2B,,,0.000165182,,,
308,AMZ2,,,,0.000449515,,
309,ANAPC11,,,,4.49815E-07,,
310,ANAPC13,,,,1.44615E-05,,
311,ANAPC15,,,,2.97413E-14,,
312,ANAPC16,,,,9.78563E-08,,
313,ANAPC2,,,,8.94132E-11,,
314,ANG,"HP:0002011, HP:0002180, HP:0007367, HP:0012639, HP:0012757",5,,4.23979E-06,,levisoprenaline
315,ANGPTL1,,,,2.55129E-07,,
316,ANGPTL3,,,,1.79987E-05,,
317,ANGPTL6,"HP:0002011, HP:0002060, HP:0002363, HP:0009145, HP:0012443, HP:0012518, HP:0012639, HP:0012703, HP:0100547, HP:0100659",10,,1.76783E-09,,
318,ANGPTL7,,,,1.79451E-05,,
319,ANK2,,,1.1935E-06,,chlormadinone,
320,ANK3,"HP:0006919, HP:0012759",2,0.000127535,,,
321,ANKDD1A,,,0.028765905,,,
322,ANKEF1,,,,0.00064828,,
323,ANKFN1,,,0.004154356,,,
324,ANKH,HP:0012639,1,0.000713091,,,
325,ANKHD1,,,,0.000916418,,
326,ANKIB1,,,1.91306E-05,,,
327,ANKLE1,,,,1.77324E-05,,
328,ANKLE2,"HP:0001273, HP:0002011, HP:0002060, HP:0002118, HP:0002500, HP:0002538, HP:0002977, HP:0006872, HP:0007333, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012759, HP:0100547",15,,0.00034977,,
329,ANKRD1,,,,5.68312E-11,,
